Date,Service description,Service ID,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2026-05-15,Cloud Storage,95FF-2EF5-5EA1,1.56,0.00,0.00,0.00,1.563517,1.56
2026-05-15,App Engine,F17B-412E-CB64,1.19,0.00,0.00,0.00,1.193152,1.19
2026-05-15,Secret Manager,EE82-7A5E-871C,0.17,0.00,0.00,0.00,0.173959,0.17
2026-05-15,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-15,Compute Engine,6F81-5844-456A,-0.00,0.00,0.00,0.00,-0.000007,-0.00
2026-05-14,Gemini API,AEFD-7695-64FA,33.70,0.00,0.00,0.00,33.702012,33.70
2026-05-14,Artifact Registry,149C-F9EC-3994,6.76,0.00,0.00,0.00,6.760615,6.76
2026-05-14,Cloud Run,152E-C115-5142,6.33,0.00,0.00,0.00,6.332482,6.33
2026-05-14,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351985,2.35
2026-05-14,Cloud Build,8B5D-EF7D-EB12,1.51,0.00,0.00,0.00,1.509050,1.51
2026-05-14,Cloud Storage,95FF-2EF5-5EA1,1.33,0.00,0.00,0.00,1.331440,1.33
2026-05-14,App Engine,F17B-412E-CB64,1.20,0.00,0.00,0.00,1.198325,1.20
2026-05-14,Secret Manager,EE82-7A5E-871C,0.17,0.00,0.00,0.00,0.172225,0.17
2026-05-14,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-14,Compute Engine,6F81-5844-456A,-0.00,0.00,0.00,0.00,-0.000004,-0.00
2026-05-13,Gemini API,AEFD-7695-64FA,32.65,0.00,0.00,0.00,32.645998,32.65
2026-05-13,Artifact Registry,149C-F9EC-3994,6.60,0.00,0.00,0.00,6.601283,6.60
2026-05-13,Cloud Run,152E-C115-5142,6.50,0.00,0.00,0.00,6.497902,6.50
2026-05-13,Cloud Build,8B5D-EF7D-EB12,3.69,0.00,0.00,0.00,3.685332,3.69
2026-05-13,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351983,2.35
2026-05-13,Cloud Storage,95FF-2EF5-5EA1,2.04,0.00,0.00,0.00,2.044464,2.04
2026-05-13,App Engine,F17B-412E-CB64,1.19,0.00,0.00,0.00,1.189625,1.19
2026-05-13,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.175400,0.18
2026-05-13,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-12,Gemini API,AEFD-7695-64FA,106.30,0.00,0.00,0.00,106.304579,106.30
2026-05-12,Cloud Run,152E-C115-5142,6.68,0.00,0.00,0.00,6.683820,6.68
2026-05-12,Artifact Registry,149C-F9EC-3994,6.33,0.00,0.00,0.00,6.334943,6.33
2026-05-12,Cloud Build,8B5D-EF7D-EB12,4.28,0.00,0.00,0.00,4.275283,4.28
2026-05-12,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351987,2.35
2026-05-12,App Engine,F17B-412E-CB64,1.94,0.00,0.00,0.00,1.941323,1.94
2026-05-12,Cloud Storage,95FF-2EF5-5EA1,1.93,0.00,0.00,0.00,1.932325,1.93
2026-05-12,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.179560,0.18
2026-05-12,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-12,Compute Engine,6F81-5844-456A,-0.00,0.00,0.00,0.00,-0.000002,-0.00
2026-05-11,Gemini API,AEFD-7695-64FA,178.14,0.00,0.00,0.00,178.141093,178.14
2026-05-11,App Engine,F17B-412E-CB64,7.61,0.00,0.00,0.00,7.607441,7.61
2026-05-11,Cloud Run,152E-C115-5142,6.50,0.00,0.00,0.00,6.503429,6.50
2026-05-11,Artifact Registry,149C-F9EC-3994,6.06,0.00,0.00,0.00,6.061482,6.06
2026-05-11,Cloud Build,8B5D-EF7D-EB12,3.92,0.00,0.00,0.00,3.921192,3.92
2026-05-11,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351982,2.35
2026-05-11,Cloud Storage,95FF-2EF5-5EA1,1.73,0.00,0.00,0.00,1.731592,1.73
2026-05-11,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.177731,0.18
2026-05-11,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-11,Compute Engine,6F81-5844-456A,-0.00,0.00,0.00,0.00,-0.000002,-0.00
2026-05-10,Gemini API,AEFD-7695-64FA,184.45,0.00,0.00,0.00,184.453945,184.45
2026-05-10,Cloud Run,152E-C115-5142,6.57,0.00,0.00,0.00,6.573858,6.57
2026-05-10,Artifact Registry,149C-F9EC-3994,5.87,0.00,0.00,0.00,5.865807,5.87
2026-05-10,App Engine,F17B-412E-CB64,5.20,0.00,0.00,0.00,5.199942,5.20
2026-05-10,Cloud Build,8B5D-EF7D-EB12,2.66,0.00,0.00,0.00,2.661067,2.66
2026-05-10,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351984,2.35
2026-05-10,Cloud Storage,95FF-2EF5-5EA1,1.36,0.00,0.00,0.00,1.355477,1.36
2026-05-10,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.175091,0.18
2026-05-10,Compute Engine,6F81-5844-456A,0.00,0.00,0.00,0.00,0.000004,0.00
2026-05-10,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-09,Gemini API,AEFD-7695-64FA,99.07,0.00,0.00,0.00,99.068401,99.07
2026-05-09,Cloud Run,152E-C115-5142,6.39,0.00,0.00,0.00,6.392171,6.39
2026-05-09,Artifact Registry,149C-F9EC-3994,5.76,0.00,0.00,0.00,5.764632,5.76
2026-05-09,App Engine,F17B-412E-CB64,4.48,0.00,0.00,0.00,4.476244,4.48
2026-05-09,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351988,2.35
2026-05-09,Cloud Build,8B5D-EF7D-EB12,1.66,0.00,0.00,0.00,1.664217,1.66
2026-05-09,Cloud Storage,95FF-2EF5-5EA1,1.04,0.00,0.00,0.00,1.039338,1.04
2026-05-09,Secret Manager,EE82-7A5E-871C,0.17,0.00,0.00,0.00,0.172176,0.17
2026-05-09,Compute Engine,6F81-5844-456A,0.00,0.00,0.00,0.00,0.000001,0.00
2026-05-09,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-08,Gemini API,AEFD-7695-64FA,284.95,0.00,0.00,0.00,284.948321,284.95
2026-05-08,Cloud Run,152E-C115-5142,6.32,0.00,0.00,0.00,6.323722,6.32
2026-05-08,Artifact Registry,149C-F9EC-3994,5.62,0.00,0.00,0.00,5.621588,5.62
2026-05-08,App Engine,F17B-412E-CB64,4.92,0.00,0.00,0.00,4.920858,4.92
2026-05-08,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351989,2.35
2026-05-08,Cloud Storage,95FF-2EF5-5EA1,1.25,0.00,0.00,0.00,1.247011,1.25
2026-05-08,Cloud Build,8B5D-EF7D-EB12,0.81,0.00,0.00,0.00,0.807602,0.81
2026-05-08,Secret Manager,EE82-7A5E-871C,0.17,0.00,0.00,0.00,0.173669,0.17
2026-05-08,Compute Engine,6F81-5844-456A,0.00,0.00,0.00,0.00,0.000001,0.00
2026-05-08,Networking,E505-1604-58F8,0.15,0.00,0.00,-0.15,0.000000,0.00
2026-05-07,Gemini API,AEFD-7695-64FA,81.61,0.00,0.00,0.00,81.614687,81.61
2026-05-07,Cloud Run,152E-C115-5142,6.30,0.00,0.00,0.00,6.300925,6.30
2026-05-07,Artifact Registry,149C-F9EC-3994,5.51,0.00,0.00,0.00,5.510477,5.51
2026-05-07,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351982,2.35
2026-05-07,Cloud Storage,95FF-2EF5-5EA1,1.18,0.00,0.00,0.00,1.176617,1.18
2026-05-07,App Engine,F17B-412E-CB64,1.13,0.00,0.00,0.00,1.131502,1.13
2026-05-07,Secret Manager,EE82-7A5E-871C,0.17,0.00,0.00,0.00,0.172941,0.17
2026-05-07,Cloud Build,8B5D-EF7D-EB12,0.01,0.00,0.00,0.00,0.008492,0.01
2026-05-07,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-07,Compute Engine,6F81-5844-456A,-0.00,0.00,0.00,0.00,-0.000001,-0.00
2026-05-06,Gemini API,AEFD-7695-64FA,106.30,0.00,0.00,0.00,106.303394,106.30
2026-05-06,Cloud Run,152E-C115-5142,6.43,0.00,0.00,0.00,6.425385,6.43
2026-05-06,Artifact Registry,149C-F9EC-3994,5.38,0.00,0.00,0.00,5.378942,5.38
2026-05-06,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351985,2.35
2026-05-06,Cloud Storage,95FF-2EF5-5EA1,1.17,0.00,0.00,0.00,1.173057,1.17
2026-05-06,App Engine,F17B-412E-CB64,1.09,0.00,0.00,0.00,1.094728,1.09
2026-05-06,Cloud Build,8B5D-EF7D-EB12,0.18,0.00,0.00,0.00,0.176645,0.18
2026-05-06,Secret Manager,EE82-7A5E-871C,0.17,0.00,0.00,0.00,0.172302,0.17
2026-05-06,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-06,Compute Engine,6F81-5844-456A,-0.00,0.00,0.00,0.00,-0.000002,-0.00
2026-05-05,Gemini API,AEFD-7695-64FA,110.25,0.00,0.00,0.00,110.250918,110.25
2026-05-05,Cloud Run,152E-C115-5142,6.51,0.00,0.00,0.00,6.514781,6.51
